stockID;SKU;Name;Price;Stok;Barkod
ENT-HBBEY229;HBCV00004G8GLP;Beyorganik ORGAN_K  Kuru Fasulye Çalı 1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);400,15;15664;0000000BEY229
ENT-HBBEYBALDO3;HBCV00004G8GLY;Beyorganik ORGAN_K Pirinç  Baldo 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);1139,00;1909;0000beybaldo3
ENT-HBKURUFASULYE-2-2;HBCV00004GAJO4;Beyorganik ORGAN_K  Kuru Fasulye Çalı 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);594,72;2228;0000029301830
ENT-HBFASULYE-1;HBCV00004G8HL6;Beyorganik ORGAN_K  Kuru Fasulye Çalı 500gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);346,38;2365;0000fasulye-1
KURUFASULYE-2-2;HBCV00004G3BBP;Beyorganik ORGAN_K  Kuru Fasulye Çalı 2,5 kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);790,46;2179;kurufasulye-2-2
ENT-HBBEY-HURMA-OZU-9;HBCV00004G8GQU;Beyorganik Organik Hurma Özü 315 Gr;270,00;187;bey-hurma-özü-9
ENT-HB023102;HBCV00004G8HDF;Beyorganik Organik Andız Özü 260gr +7 Ay;720,00;2165;0000000023102
ENT-HB8682125484532;HBV00000X4JJ4;Beyorganik Organik Tarhana  Karabu_day Unlu 300gr;375,46;4256;8682125484532
572829902;HBCV00004UVHLB;Beyorganik Organik Tel _ehriye  250gr +6Ay;290,00;18477;0000572829902
325346;HBCV00004WF5R2;Beyorganik Organik BEYÖZ ve BEY TON_K 2'li set;1270,00;8048;0000000325346
ENT-HB678952;HBCV000058WEVA;Karadut Özü %100 So_uk Sıkım _eker _lavesiz 260gr;229,88;93977;0000000678952
ENT-HB8680419375535;ZYHDMAR6304920;Beyorganik Organik  Patlak Mısır 500gr;212,92;18014;8680419375535
ENT-HB8680419375887;ZYHDMAR6304933;Beyorganik Organik Çorbalık Tahıl Karı_ımı Üçlü Mercimek 1kg;290,00;34960;8680419375887
ENT-HB86821257903;HBCV00005H9IGY;Beyorganik Organik Çorbalık Tahıl Karı_ımı Üçlü 2,5kg;700,00;499998;0086821257903
8682125484907;HBCV00005HDGDZ;Beyorganik Organik Elma Sirkesi 500ml;460,00;1973;8682125484807
ENT-HBELMA-9;HBCV00005HDAAR;Beyorganik Organik Elma Sirkesi 500ml  (PEST_S_T  ANAL_ZL_);460,00;16205;0000000elma-9
ENT-HB86821254815790;HBCV00005JJV8Y;Beyorganik Organik Tam Bu_day Eri_te 500gr;369,00;1995;86821254815790
ENT-HB86821254852703;HBCV00005Q7379;Beyorganik Beygurme %100 So_uk Sıkım Karadut Özü 700 gr;391,63;4094;86821254852703
ENT-HB86821254852632;HBCV00005S3BSQ;Beyorganik Organik Kozalaklı Kı_ Macunu 240gr;456,67;1952;86821254852632
ENT-HB86821254852562;HBCV00005S3E3N;Beyorganik Organik Kakaolu Kı_ Macunu 240gr Kids;703,30;18879;86821254852562
ENT-HB39878299;HBCV00005ULRIA;Beyorganik Organik Çam Kozalak _urubu 230gr;703,30;3525;0000039878299
ENT-HB86821235678;HBCV00005X5HL8;Beyorganik ORGAN_K  Basmati Pirinç 500gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);296,01;3426;0086821235678
ENT-HB868212456789;HBCV00005X5YAH;Beyorganik Organik Basmati Pirinç 1000gr;414,26;15368;0868212456789
ENT-HB868212567986;HBCV00005ZAWF9;Beyorganik Organik Basmati Pirinç 2,5 kg;860,00;1918;0868212567986
ENT-HB86821254899403;HBCV000068IE9S;Beyorganik Organik Zencefilli Shot 250ml;585,90;6279;86821254899403
ENT-HBEKGIDA-8;HBCV00004G8HLA;Beyorganik ORGAN_K Bebek Ek Gıdası Organik Bebek Tarhanası (13 Sebzeli) 400gr;414,90;4779;00000ekgıda-8
ENT-HB868212783002;HBCV000068J43J;Beyorganik Organik Bey-Atom & Bey-Tonik 2'li;1270,00;17933;0868212783002
ENT-HB86821298766;HBCV000068J4MG;Beyorganik Organik Bey-Atom 2'li Set;1297,00;18358;0086821298766
8683129009820;HBCV00006AZ9R1;Beyorganik ORGAN_K Ketçap Tatlı 250cc;270,00;5862;8683129009820
86821293002;HBCV00006AZCSI;Beyorganik ORGAN_K  Barbekü Sos 250cc;538,90;4998;0086821293002
ENT-HB8682125489698;HBCV00006CFNMA;Beyorganik Organik Siyez-Mısır Un Mix 350gr;287,50;7978;8682125489698
ENT-HB8682125488257;HBCV00006CFPUX;Beyorganik Organik Gece Muhallebisi 200gr;249,00;5239;8682125488257
ENT-HB8682125489957;HBCV00006DGNS6;Beyorganik ORGAN_K  Rezene Çayı 150gr;264,50;3736;8682125489957
ENT-HB9328;HBCV00006TE2Y7;Beyorganik ORGAN_K Pirinç Karacada_ 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);601,60;15713;0000007289932
8682125488226;HBCV00006XKJOA;Beyorganik Organik & Vegan Bula_ık Makinesi Deterjanı 750ml;383,09;8988;8682125488226
8682125488233;HBCV00006XOK06;Beyorganik Organik & Vegan Bebek Çama_ır Deterjanı;403,98;3700;8682125488233
8682125488240;HBCV00006XODC2;Beyorganik & Vegan Bebek _ampuanı 500ml;270,32;4466;8682125488240
8682125489668;HBCV00006XX7OV;Beyorganik ORGAN_K  Çocuk Di_ Macunu 75gr;284,60;3194;8682125489668
86821254890;HBCV00006Y9K43;Beyorganik Organik Yıllanmı_ Elma Sirkesi 5'li Içilebilir Do_al Fermantasyon 500 ml (5 adet);2000,00;6497;0086821254890
HBV00000XB6F1;HBV00000XB6F1;Beyorganik Organik Bu_day Ru_eymi 185gr;323,90;3656;8680419375191
HBV000001XMLQ;HBV000001XMLQ;Beyorganik Organik Pirinç Unu 500gr;230,00;2241;"0000055306002;HBV000001LOWO"
HBCV00002YVYX7;HBCV00002YVYX7;Beyorganik Organik Bey Öz Mix 260gr;761,40;2079;OrganikYerinden49642227-2e5
8682125489642;HBCV000073UP6P;Beyorganik Organik Tahin 600gr (Tek Kavrulmu_) +8 ay;550,00;18478;8682125489642
 HBCV000071J2TW;HBCV000071J2TW;Beyorganik ORGAN_K  Köfte Harcı (Sebzeli) 200gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);234,56;6622;8682125481777
8682125489582;HBCV000079S1IU;Beybeybi Keçi Sütlü 3 Tahıllı Muhallebi 175GR;470,00;1998;8682125489582
8682125488219;HBCV00007E1405;Beyorganik Organik Roll-On 75ml;386,17;4498;8682125488219
BEYRU_EYML_-200-1;HBCV00007E8MC9;Beyorganik Organik Ru_eymli Krep Karı_ımı 200gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);194,02;15349;BEYRU_EYML_-200-1
8682125481807;HBCV00007E8MCE;Beyorganik Organik Çilekli Pancake Karı_ımı 200gr Bebek Ek Gıdası;320,97;11770;8682125481807
BEYORGANIK-MUHALLEBI-200;HBCV00007E8MCD;Beyorganik Organik Bebek Muhallebisi 200gr;461,90;13323;beyorganik-muhallebi-200
ENT-HB823761;HBCV00007E8MCN;Beyorganik Organik Yulaflı Muhallebi +6ay 250gr;560,90;99795;0000000823761
ENT-HB8682125481722;HBCV00007E8MCQ;Beyorganik ORGAN_K  Çilekli Bebek Pudingi  200gr (_eker Ilavesiz) +12 ay  (PEST_S_T VE AFLATOKS_N ANAL_ZL_);308,41;14774;8682125481722
ENT-HB6378393982;HBCV00007E8MCP;Beyorganik ORGAN_K  Bebek Ek Gıdalar Seti 4'lü (Bebek Ek Gıdasına Uygun Olarak Üretimi Yapılmı_tır) +6 ay  (PEST_S_T VE AFLATOKS_N ANAL_ZL_);1144,00;4964;0006378393982
ENT-HB8682125481074;HBCV00007E8MD0;Beyorganik ORGAN_K Meyveli Muhallebi Karı_ımı 200gr (Üç Meyveli) (Pestisit ve Aflatoksin Analizli);331,82;11713;8682125481074
8682125489544;HBCV00007E8MD3;Beyorganik ORGAN_K Avokadolu Çabuk Muhallebi Karı_ımı 200gr  (Pestisit ve Aflatoksin Analizli);422,43;10313;8682125489544
8682125489537;HBCV00007E8MD4;Beyorganik ORGAN_K Muzlu Pankek Karı_ımı 300gr (Pestisit ve Aflatoksin Analizli);300,00;4913;8682125489537
8682125489568;HBCV00007E8MD6;Beybeybi Keçi Sütlü Avokadolu Muhallebi 175GR;404,80;99800;8682125489568
8682125489575;HBCV00007E8MD7;Beybeybi Keçi Sütlü Gece Muhallebisi 175gr;404,80;1890;8682125489575
8682125489902;HBCV00007E8PYO;Beyorganik ORGAN_K Ginger Shot (7 Adetx30ml) (PEST_S_T ANAL_ZL_);580,00;1956;8682125489902
8682125481425;HBCV00007E8PYH;Beyorganik ORGAN_K Emziren Anne Miks 260gr (Pestisit ve A_ır Metal Analizli);591,86;8028;8682125481425
8682125481432;HBCV00007E8PYJ;Beyorganik Organik Bey-Night Mix 260gr;625,63;2209;8682125481432
8682125481371;HBCV00007E8PYG;Beyorganik Organik Granola 350gr (Mor Özlerle Harmanlanmı_);320,00;17423;8682125481371
BEY406;HBCV00007E8PY3;Beyorganik Organik Bebek Tarhana 500gr;434,90;49486;0000000BEY406
8682125488592;HBCV00007E8PY9;Organik 9 Sebzeli Çorbam 160gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);337,90;7807;8682125488592
86821254801521;HBCV00007E8PY8;Beyorganik Organik Havuçlu Kabak Çorbası 160gr;333,90;10930;86821254801521
8682125482101;HBCV00007E8PYE;Beyorganik Organik Brokolili Havuç Çorbası 50gr (10 Dakikada Hazır);385,90;13114;8682125482101
8682125482095;HBCV00007E8PYF;Beyorganik Organik Ru_eymli Bezelye Çorbası 50gr (10 Dakikada Hazır);385,90;16620;8682125482095
8273989;HBCV00007E8PYL;Beyorganik Organik Bol Sebzeli Tarhana 13 Sebzeli 200gr;368,00;4149;0000008273989
8682125481869;HBCV00007E8PYB;Beyorganik Organik Brokoli Balkabak _rmik +6 Ay ( Ek Gıda) 250gr;560,90;4986;8682125481869
BYO0031;HBCV00007E8PYC;Beyorganik Organik Tam Yulaf Unu 350gr;173,00;4873;"000000BYO0031;86804193752692"
HBV00000RXNVQ;HBCV00007E8PYN;Beyorganik Organik Bebek _rmi_i 350gr;190,00;16401;BEYPAZARINDAN34580610001
ENT-HB868212548783;HBCV00007E8PY2;Beyorganik Organik _rmik Ru_eymli 350gr;329,90;4826;0868212548783
868212548;HBCV00007UTFKP;Beyorganik ORGAN_K Bebek Bisküvisi 135gr;400,00;4975;0000868212548
868212548644;HBCV00007WAY28;Beyorganik Organik _rmik 500gr (Pestisit ve Aflatoksin Analizli);330,00;23811;0868212548644
86821254873;HBCV00007WBABW;Beyorganik Organik Bebek Bisküvisi 135gr Yumurtasız 6 Ay (Pestisit _çermez);445,00;1891;0086821254873
8682125485762;HBCV000081S35C;Organik Çikolata - Vegan 40gr (Artizan);440,00;9899;8682125485762
8680419375432;HBCV000083DZOH;Beyorganik ORGAN_K Siyez Pilavlık Bulgur 1kg;500,00;4889;8680419375432
 8682125488264;HBCV00006QHU29;Beyorganik Organik Pankek Karı_ımı 500gr;350,00;18861;8682125488264
8682125480602;HBCV00008DD3AE;Beyorganik Enginar Sirkesi 250ml;500,00;4986;8682125480602
86821254810501;HBCV00008FG3IA;__de Unu (Çekirde_i ile Birlikte) 170gr (Pestisit ve Aflatoksin Analizli);350,00;4752;86821254810501
8682125480481;HBCV00008FGT1P;Beygurme Ananas Sirkesi 250ml;500,00;4971;8682125480481
8682125481532;HBCV00008GBUG8;Beyorganik Organik So_uk Sıkım Sızma Zeytinya_ı 250ML;500,00;4980;8682125481532
8682125488812;HBCV00008GBUEQ;Beyorganik Organik So_uk Sıkım Sızma Zeytinya_ı 500ML;1000,00;4994;8682125488812
8682125481112;HBCV00008I1BJ6;Serin Yaz _kilisi Cool Pineapple & Karamürverli Karadut Özü 2'li Set;549,90;4808;8682125481112
86821254829871;HBCV00008IKZFV;Organik Tam Yulaf Unu 250GR (Cam);260,00;4896;86821254829871
86821254804976;HBCV00008JB57U;Beygurme Hurma Suyu Konsantresi 685gr;412,90;4873;86821254804976
8682125480892;HBCV00008L9L9H;Beygurme Cool Pineapple Ananaslı Zencefilli Içecek 250ML;400,00;2003;8682125480892
8680419375689;HBCV00008LWQHS;Organik Tahıl Karı_ımı Anadolu Vega (Ma_ Fasulyeli) 500GR (Pestisit ve Aflatoksin Analizli);340,00;49998;8680419375686
86802125484266;HBCV00008LWQII;Beyorganik Organik Karabu_daylı  Tahıl Karı_ımı 440GR (Pestisit ve Aflatoksin Analizli);290,00;96994;86802125484266
86851254805482;HBCV00008M542Y;Beygurme Hurma Suyu Konsantresi 1300GR (Pestisit Analizli);539,90;20839;86851254805482
86821254897802;HBCV00008MY37M;Organik Detox Shot Mix (Pestisit Analizli);580,00;9999;86821254897802
8682125482126;HBCV00008MZZMW;Beygurme Karamürverli Karadut Özü 250ml (PEST_S_T ANAL_ZL_);379,00;48840;8682125482126
8682125480;HBCV00008NGEG4;Hurma Suyu Konsantresi 248gr (Pestisit Analizli);278,90;95998;0008682125480
868212623722;HBCV00008PMKP3;Organik Siyez Bu_day Unu 1kg (Pestisit ve Aflatoksin Analizli);320,00;40;0868212623722
